 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   108.000  -10.1310  -26.7133   -9.9942  -12.5844
   109.000  -10.1241  -25.8245   -9.8678  -12.7413
   110.000  -10.1170  -24.9598   -9.7342  -12.9136
   111.000  -10.1097  -24.1181   -9.5934  -13.1027
   112.000  -10.1022  -23.2984   -9.4454  -13.3101
   113.000  -10.0945  -22.5001   -9.2904  -13.5373
   114.000  -10.0868  -21.7223   -9.1287  -13.7863
   115.000  -10.0789  -20.9643   -8.9603  -14.0590
   116.000  -10.0710  -20.2256   -8.7856  -14.3575
   117.000  -10.0630  -19.5057   -8.6049  -14.6841
   118.000  -10.0550  -18.8039   -8.4184  -15.0416
   119.000  -10.0471  -18.1199   -8.2267  -15.4325
   120.000  -10.0392  -17.4532   -8.0299  -15.8600
   121.000  -10.0313  -16.8032   -7.8286  -16.3268
   122.000  -10.0236  -16.1696   -7.6231  -16.8356
   123.000  -10.0160  -15.5521   -7.4139  -17.3885
   124.000  -10.0086  -14.9501   -7.2014  -17.9860
   125.000  -10.0013  -14.3634   -6.9861  -18.6252
   126.000   -9.9944  -13.7916   -6.7684  -19.2978
   127.000   -9.9876  -13.2344   -6.5487  -19.9853
   128.000   -9.9812  -12.6915   -6.3276  -20.6528
   129.000   -9.9751  -12.1625   -6.1054  -21.2429
   130.000   -9.9694  -11.6473   -5.8826  -21.6740
   131.000   -9.9641  -11.1454   -5.6595  -21.8553
   132.000   -9.9592  -10.6568   -5.4367  -21.7222
   133.000   -9.9548  -10.1810   -5.2146  -21.2720
   134.000   -9.9509   -9.7180   -4.9934  -20.5659
   135.000   -9.9475   -9.2674   -4.7736  -19.6946
   136.000   -9.9447   -8.8291   -4.5555  -18.7411
   137.000   -9.9424   -8.4029   -4.3396  -17.7650
   138.000   -9.9409   -7.9886   -4.1261  -16.8029
   139.000   -9.9399   -7.5860   -3.9153  -15.8745
   140.000   -9.9397   -7.1950   -3.7077  -14.9889
   141.000   -9.9402   -6.8154   -3.5034  -14.1495
   142.000   -9.9415   -6.4470   -3.3028  -13.3562
   143.000   -9.9435   -6.0898   -3.1061  -12.6072
   144.000   -9.9464   -5.7436   -2.9135  -11.9001
   145.000   -9.9501   -5.4083   -2.7255  -11.2322
   146.000   -9.9547   -5.0837   -2.5421  -10.6008
   147.000   -9.9602   -4.7698   -2.3636  -10.0034
   148.000   -9.9666   -4.4665   -2.1902   -9.4375
   149.000   -9.9740   -4.1737   -2.0222   -8.9010
   150.000   -9.9824   -3.8912   -1.8597   -8.3921
   151.000   -9.9918   -3.6191   -1.7029   -7.9089
   152.000  -10.0022   -3.3572   -1.5520   -7.4499
   153.000  -10.0137   -3.1054   -1.4071   -7.0137
   154.000  -10.0263   -2.8638   -1.2685   -6.5990
   155.000  -10.0399   -2.6322   -1.1364   -6.2048
   156.000  -10.0547   -2.4106   -1.0107   -5.8300
   157.000  -10.0707   -2.1989   -0.8918   -5.4738
   158.000  -10.0878   -1.9971   -0.7797   -5.1352
   159.000  -10.1060   -1.8052   -0.6746   -4.8137
   160.000  -10.1255   -1.6231   -0.5766   -4.5085
   161.000  -10.1462   -1.4508   -0.4858   -4.2191
   162.000  -10.1681   -1.2882   -0.4024   -3.9448
   163.000  -10.1912   -1.1354   -0.3265   -3.6853
   164.000  -10.2156   -0.9922   -0.2583   -3.4400
   165.000  -10.2412   -0.8588   -0.1977   -3.2086
   166.000  -10.2681   -0.7349   -0.1450   -2.9906
   167.000  -10.2963   -0.6208   -0.1003   -2.7858
   168.000  -10.3257   -0.5162   -0.0636   -2.5938
   169.000  -10.3564   -0.4213   -0.0352   -2.4143
   170.000  -10.3884   -0.3360   -0.0150   -2.2471
   171.000  -10.4216   -0.2603   -0.0032   -2.0919
   172.000  -10.4562   -0.1943   -0.0000   -1.9485
   173.000  -10.4920   -0.1378   -0.0054   -1.8167
   174.000  -10.5291   -0.0910   -0.0195   -1.6963
   175.000  -10.5674   -0.0538   -0.0425   -1.5870
   176.000  -10.6071   -0.0262   -0.0745   -1.4889
   177.000  -10.6479   -0.0083   -0.1156   -1.4015
   178.000  -10.6900    0.0000   -0.1658   -1.3250
   179.000  -10.7333   -0.0014   -0.2254   -1.2590
   180.000  -10.7779   -0.0125   -0.2945   -1.2035
   181.000  -10.8236   -0.0334   -0.3732   -1.1583
   182.000  -10.8705   -0.0640   -0.4616   -1.1233
