 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
  42.000  -0.04660   0.02075   0.05101   155.992   -5.4376   **   0.00109   0.06386   0.06387    89.020   -3.4854   **   -1.3424    66.9724 
  43.000  -0.04712   0.01951   0.05100   157.509   -5.4392   **   0.00056   0.06089   0.06089    89.469   -3.8997   **   -1.5913    68.0402 
  44.000  -0.04760   0.01827   0.05099   159.000   -5.4414   **   0.00009   0.05798   0.05798    89.907   -4.3259   **   -1.8376    69.0934 
  45.000  -0.04804   0.01704   0.05097   160.466   -5.4442   **  -0.00032   0.05512   0.05512    90.334   -4.7642   **   -2.0806    70.1320 
  46.000  -0.04843   0.01582   0.05095   161.907   -5.4476   **  -0.00069   0.05233   0.05234    90.751   -5.2147   **   -2.3193    71.1560 
  47.000  -0.04879   0.01462   0.05093   163.321   -5.4515   **  -0.00100   0.04961   0.04962    91.155   -5.6778   **   -2.5529    72.1653 
  48.000  -0.04910   0.01343   0.05090   164.708   -5.4560   **  -0.00127   0.04696   0.04698    91.548   -6.1535   **   -2.7804    73.1599 
  49.000  -0.04938   0.01225   0.05087   166.068   -5.4608   **  -0.00149   0.04438   0.04441    91.928   -6.6422   **   -3.0012    74.1398 
  50.000  -0.04962   0.01109   0.05084   167.401   -5.4662   **  -0.00168   0.04188   0.04191    92.296   -7.1440   **   -3.2143    75.1050 
  51.000  -0.04983   0.00995   0.05081   168.706   -5.4719   **  -0.00183   0.03946   0.03950    92.651   -7.6593   **   -3.4190    76.0555 
  52.000  -0.05000   0.00883   0.05077   169.983   -5.4780   **  -0.00194   0.03711   0.03716    92.992   -8.1882   **   -3.6147    76.9914 
  53.000  -0.05014   0.00773   0.05074   171.232   -5.4844   **  -0.00202   0.03485   0.03491    93.319   -8.7312   **   -3.8009    77.9128 
  54.000  -0.05026   0.00666   0.05070   172.451   -5.4911   **  -0.00207   0.03268   0.03274    93.632   -9.2884   **   -3.9770    78.8197 
  55.000  -0.05035   0.00561   0.05066   173.642   -5.4981   **  -0.00210   0.03059   0.03066    93.930   -9.8602   **   -4.1427    79.7124 
  56.000  -0.05041   0.00458   0.05061   174.803   -5.5053   **  -0.00210   0.02858   0.02866    94.212  -10.4469   **   -4.2979    80.5908 
  57.000  -0.05044   0.00359   0.05057   175.934   -5.5127   **  -0.00209   0.02665   0.02674    94.479  -11.0488   **   -4.4423    81.4553 
  58.000  -0.05046   0.00261   0.05053   177.036   -5.5203   **  -0.00205   0.02482   0.02490    94.730  -11.6664   **   -4.5760    82.3060 
  59.000  -0.05045   0.00167   0.05048   178.106   -5.5281   **  -0.00200   0.02306   0.02315    94.963  -12.2999   **   -4.6992    83.1431 
