 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
  40.000  -0.12173  -0.04805   0.13087  -158.461    0.2051   **   0.02033  -0.03544   0.04085   -60.154   -9.9072   **    0.6090   -98.3069 
  41.000  -0.12069  -0.04852   0.13007  -158.098    0.1519   **   0.01995  -0.03612   0.04126   -61.080   -9.8212   **    0.5683   -97.0176 
  42.000  -0.11963  -0.04897   0.12927  -157.738    0.0980   **   0.01956  -0.03672   0.04161   -61.957   -9.7485   **    0.5261   -95.7815 
  43.000  -0.11858  -0.04941   0.12846  -157.381    0.0435   **   0.01916  -0.03726   0.04189   -62.786   -9.6888   **    0.4824   -94.5948 
  44.000  -0.11752  -0.04982   0.12765  -157.027   -0.0116   **   0.01875  -0.03772   0.04212   -63.573   -9.6422   **    0.4372   -93.4540 
  45.000  -0.11647  -0.05022   0.12683  -156.676   -0.0672   **   0.01832  -0.03811   0.04228   -64.319   -9.6084   **    0.3905   -92.3562 
  46.000  -0.11542  -0.05060   0.12602  -156.328   -0.1232   **   0.01789  -0.03842   0.04239   -65.029   -9.5873   **    0.3423   -91.2988 
  47.000  -0.11437  -0.05096   0.12520  -155.984   -0.1795   **   0.01746  -0.03867   0.04243   -65.704   -9.5789   **    0.2926   -90.2794 
  48.000  -0.11332  -0.05130   0.12439  -155.643   -0.2361   **   0.01701  -0.03885   0.04241   -66.347   -9.5830   **    0.2415   -89.2958 
  49.000  -0.11228  -0.05163   0.12358  -155.306   -0.2928   **   0.01657  -0.03895   0.04233   -66.960   -9.5997   **    0.1889   -88.3462 
  50.000  -0.11125  -0.05194   0.12278  -154.973   -0.3495   **   0.01611  -0.03899   0.04218   -67.544   -9.6290   **    0.1351   -87.4289 
  51.000  -0.11023  -0.05224   0.12198  -154.644   -0.4063   **   0.01566  -0.03895   0.04198   -68.102   -9.6708   **    0.0799   -86.5425 
  52.000  -0.10922  -0.05251   0.12118  -154.320   -0.4630   **   0.01520  -0.03885   0.04172   -68.635   -9.7252   **    0.0234   -85.6855 
  53.000  -0.10821  -0.05278   0.12040  -154.000   -0.5195   **   0.01474  -0.03869   0.04140   -69.143   -9.7923   **   -0.0342   -84.8570 
  54.000  -0.10723  -0.05303   0.11962  -153.685   -0.5758   **   0.01428  -0.03845   0.04102   -69.629   -9.8723   **   -0.0930   -84.0557 
  55.000  -0.10625  -0.05326   0.11885  -153.375   -0.6317   **   0.01382  -0.03816   0.04058   -70.094   -9.9653   **   -0.1528   -83.2809 
  56.000  -0.10529  -0.05349   0.11810  -153.070   -0.6872   **   0.01336  -0.03780   0.04009   -70.538  -10.0714   **   -0.2135   -82.5316 
  57.000  -0.10435  -0.05370   0.11735  -152.770   -0.7422   **   0.01290  -0.03738   0.03954   -70.963  -10.1910   **   -0.2752   -81.8072 
  58.000  -0.10342  -0.05389   0.11662  -152.476   -0.7966   **   0.01244  -0.03690   0.03894   -71.368  -10.3244   **   -0.3376   -81.1070 
  59.000  -0.10251  -0.05408   0.11590  -152.187   -0.8504   **   0.01198  -0.03636   0.03828   -71.757  -10.4718   **   -0.4006   -80.4306 
  60.000  -0.10162  -0.05425   0.11519  -151.905   -0.9034   **   0.01153  -0.03576   0.03758   -72.127  -10.6337   **   -0.4642   -79.7773 
  61.000  -0.10075  -0.05441   0.11450  -151.628   -0.9555   **   0.01108  -0.03511   0.03682   -72.482  -10.8106   **   -0.5282   -79.1469 
  62.000  -0.09990  -0.05456   0.11383  -151.359   -1.0068   **   0.01064  -0.03441   0.03601   -72.820  -11.0029   **   -0.5925   -78.5389 
